iteration_number,acc_x_vals,acc_y_vals,acc_z_vals,gyro_x_vals,gyro_y_vals,gyro_z_vals,activity_name,timestamp
2,0.087,5.892,8.220,0.004,-0.001,-0.053,Sitting,1665775735006
2,0.266,5.763,7.908,0.029,0.012,-0.009,Sitting,1665775735248
2,0.162,5.964,8.442,-0.112,-0.213,0.055,Sitting,1665775735483
2,0.295,5.797,7.884,0.052,0.104,-0.042,Sitting,1665775735722
2,0.395,5.773,8.330,-0.007,0.016,-0.019,Sitting,1665775735964
2,0.328,5.684,8.361,-0.005,0.053,-0.038,Sitting,1665775736199
2,0.283,5.897,8.445,-0.040,-0.135,0.031,Sitting,1665775736438
2,0.628,5.694,7.834,-0.055,-0.077,-0.069,Sitting,1665775736676
2,0.623,5.801,7.367,0.086,0.071,-0.043,Sitting,1665775736914
2,0.443,5.780,7.980,0.017,0.020,-0.023,Sitting,1665775737153
2,0.680,5.876,8.078,-0.003,-0.024,0.015,Sitting,1665775737392
2,0.063,6.194,9.180,0.047,-0.140,0.007,Sitting,1665775737632
2,-5.392,1.696,8.464,-0.755,0.556,-2.594,Sitting,1665775737867
2,-2.037,4.209,6.682,0.663,0.946,-0.174,Sitting,1665775738105
2,-1.091,6.106,5.796,0.113,0.443,0.197,Sitting,1665775738345
2,-2.372,4.963,8.780,-0.044,0.303,-0.066,Sitting,1665775738585
2,-2.542,6.024,8.560,-0.316,0.283,-0.281,Sitting,1665775738823
2,-0.679,6.386,7.848,-0.151,-0.139,0.114,Sitting,1665775739061
2,-1.445,6.292,8.073,-0.096,0.029,-0.066,Sitting,1665775739299
2,-1.608,6.319,7.539,-0.019,0.020,0.109,Sitting,1665775739539
2,-2.051,6.460,8.852,0.076,-0.022,0.221,Sitting,1665775739773
2,-1.733,6.043,7.058,0.036,0.232,-0.047,Sitting,1665775740014
2,-1.644,6.592,7.182,0.012,0.030,0.030,Sitting,1665775740249
2,-1.524,6.491,7.238,-0.067,-0.035,-0.085,Sitting,1665775740488
2,-2.324,5.857,7.650,-0.184,0.109,-0.219,Sitting,1665775740727
2,-2.030,5.907,7.645,0.043,-0.208,-0.043,Sitting,1665775740968
2,-1.512,6.206,7.745,0.142,-0.171,0.238,Sitting,1665775741203
2,-2.049,5.785,7.252,-0.181,0.065,-0.001,Sitting,1665775741441
2,-1.563,6.463,7.745,-0.177,0.056,-0.114,Sitting,1665775741683
2,-1.342,5.718,7.901,-0.013,0.099,0.050,Sitting,1665775741921
2,-1.524,5.452,7.956,0.023,-0.027,-0.003,Sitting,1665775742157
2,-1.855,5.964,7.638,-0.016,-0.064,0.043,Sitting,1665775742396
2,-1.481,6.065,7.448,-0.022,0.266,0.268,Sitting,1665775742634
2,-2.054,5.430,8.619,-0.095,-0.072,-0.081,Sitting,1665775742872
2,-1.489,5.684,7.954,0.032,-0.103,0.024,Sitting,1665775743114
2,-1.898,5.526,8.119,-0.016,-0.062,-0.007,Sitting,1665775743349
2,-1.383,5.761,7.829,0.040,0.015,0.028,Sitting,1665775743590
2,-1.465,5.653,7.958,-0.027,-0.023,0.014,Sitting,1665775743825
2,-1.424,5.619,7.987,-0.017,-0.029,0.004,Sitting,1665775744064
2,-1.328,5.706,8.149,-0.008,-0.024,0.008,Sitting,1665775744305
2,-1.184,5.615,8.160,-0.005,-0.055,-0.005,Sitting,1665775744541
2,-0.959,5.933,8.081,0.023,-0.073,0.034,Sitting,1665775744779
2,-1.199,5.596,7.841,0.016,-0.060,0.027,Sitting,1665775745016
2,-1.033,5.643,7.954,0.015,-0.061,0.020,Sitting,1665775745255
2,-1.771,6.649,6.620,-0.043,-0.359,0.120,Walking,1665775751509
2,-1.867,6.839,7.101,-0.140,0.047,0.068,Walking,1665775751749
2,-3.627,5.275,5.216,-0.166,-0.099,0.368,Walking,1665775751988
2,-1.237,8.024,9.326,-0.674,-0.159,0.430,Walking,1665775752224
2,-0.713,4.204,4.481,0.860,-0.261,0.600,Walking,1665775752465
2,16.392,-11.200,-1.379,0.086,-4.361,4.029,Walking,1665775752701
2,13.185,-6.891,1.786,-1.564,-0.651,4.078,Walking,1665775752939
2,18.693,-2.381,3.154,-0.376,0.133,1.201,Walking,1665775753177
2,14.672,-12.613,2.498,2.748,-1.466,-3.344,Walking,1665775753416
2,3.435,-5.519,0.452,0.959,-1.067,-2.741,Walking,1665775753653
2,10.557,-11.252,0.601,-1.614,1.954,2.136,Walking,1665775753892
2,17.913,-5.370,6.804,-2.636,0.001,4.685,Walking,1665775754131
2,14.734,-7.298,2.402,0.457,-0.956,-0.638,Walking,1665775754369
2,10.462,-13.422,1.387,2.307,-2.604,-4.368,Walking,1665775754607
2,0.166,-6.486,0.304,-0.273,0.743,-2.276,Walking,1665775754845
2,13.851,-13.355,3.046,-2.019,0.264,5.145,Walking,1665775755083
2,15.719,-4.649,-0.029,-0.764,0.109,2.937,Walking,1665775755322
2,13.958,-12.227,3.856,0.289,0.446,-3.204,Walking,1665775755560
2,4.769,-8.865,-0.340,1.962,-2.426,-5.191,Walking,1665775755799
2,5.094,-10.989,0.448,-1.161,0.910,1.084,Walking,1665775756037
2,14.354,-8.807,1.513,-2.088,-0.025,4.492,Walking,1665775756276
2,15.479,-4.664,1.327,-0.086,0.903,0.888,Walking,1665775756516
2,12.732,-13.473,2.069,1.798,-2.136,-3.185,Walking,1665775756751
2,0.159,-6.767,-0.146,-0.510,0.262,-3.381,Walking,1665775756990
2,13.863,-12.141,-0.216,-2.001,0.371,4.507,Walking,1665775757229
2,13.930,-4.594,1.157,-0.591,-0.127,3.315,Walking,1665775757467
2,13.336,-8.948,3.006,0.233,-1.035,-1.098,Walking,1665775757706
2,8.605,-10.110,1.128,1.784,-2.488,-3.046,Walking,1665775757944
2,0.980,-7.210,0.737,-1.036,1.653,-2.181,Walking,1665775758183
2,15.448,-9.497,0.079,-0.999,-0.050,4.401,Walking,1665775758424
2,11.657,-4.010,-0.022,-0.163,-0.061,1.399,Walking,1665775758658
2,14.004,-8.489,2.057,2.404,-5.269,-1.174,Walking,1665775758897
2,5.928,-10.680,3.077,0.838,-1.891,-4.095,Walking,1665775759134
2,2.625,-8.352,0.323,-0.078,0.733,-0.538,Walking,1665775759373
2,13.652,-9.619,1.636,-1.674,0.431,4.077,Walking,1665775759611
2,13.170,-5.212,0.694,0.088,0.046,1.123,Walking,1665775759853
2,10.380,-10.675,3.104,0.278,-0.128,-2.859,Walking,1665775760088
2,6.268,-9.085,1.643,0.935,-2.004,-3.201,Walking,1665775760326
2,5.545,-8.553,0.014,-0.861,1.494,0.649,Walking,1665775760564
2,13.237,-7.111,0.898,-0.935,0.200,3.831,Walking,1665775760803
2,14.342,-4.664,2.713,0.122,0.180,0.730,Walking,1665775761043
2,11.168,-11.913,2.613,0.818,-1.326,-3.381,Walking,1665775761280
2,0.592,-6.616,-0.787,0.951,-0.328,-2.861,Walking,1665775761520
2,8.668,-6.891,-0.285,-4.096,3.601,0.940,Walking,1665775761757
2,11.269,-11.427,2.067,-1.377,-0.979,3.529,Walking,1665775761997
2,13.427,-5.938,2.464,0.543,1.649,-1.481,Walking,1665775762236
2,11.211,-13.271,1.394,2.257,-3.229,-3.830,Walking,1665775762473
2,-0.904,-6.776,-1.740,0.757,0.419,-2.294,Walking,1665775762712
2,16.681,-12.424,3.954,-1.849,0.141,4.951,Walking,1665775762948
2,15.012,-3.881,-0.711,0.904,0.195,1.372,Walking,1665775763187
2,16.511,-12.230,4.524,0.144,-0.492,-3.029,Walking,1665775763425
2,7.659,-9.962,3.451,1.489,7.203,-4.859,Walking,1665775763663
2,2.110,2.767,0.299,1.378,0.626,-0.513,Walking,1665775763902
2,1.792,6.690,10.401,-1.822,-1.186,-0.435,Walking,1665775764140
2,-0.056,5.191,12.770,0.017,-0.075,-0.567,Walking,1665775764379
2,1.971,1.256,5.250,0.272,-0.329,0.670,Walking,1665775764617
2,8.450,-12.390,-0.907,-0.458,-4.163,2.286,Walking,1665775764854
2,13.812,-5.473,6.953,-2.680,-1.385,4.532,Walking,1665775765093
2,11.372,-3.454,0.390,0.170,-0.812,0.688,Walking,1665775765331
2,15.862,-15.722,3.964,0.458,0.611,-3.186,Walking,1665775765569
2,1.919,-7.811,1.439,2.049,-1.531,-3.776,Walking,1665775765808
2,3.602,-11.296,0.591,-1.058,1.092,0.831,Walking,1665775766046
2,16.801,-9.380,3.722,-3.208,0.516,5.352,Walking,1665775766287
2,-0.686,6.527,7.535,-0.039,0.046,0.027,Walking Upstairs,1665775772502
2,-0.935,6.204,7.515,-0.138,-0.009,-0.017,Walking Upstairs,1665775772740
2,-0.981,6.922,6.476,-0.114,-0.038,0.014,Walking Upstairs,1665775772980
2,-2.921,5.984,3.755,-0.560,-0.854,0.242,Walking Upstairs,1665775773219
2,0.195,4.341,3.125,0.224,-0.747,1.091,Walking Upstairs,1665775773454
2,21.644,-1.641,19.548,-2.641,-3.743,1.423,Walking Upstairs,1665775773693
2,1.658,13.092,9.151,-0.644,1.085,-0.133,Walking Upstairs,1665775773931
2,8.047,-8.172,3.736,3.633,0.496,-0.662,Walking Upstairs,1665775774173
2,16.162,-1.474,2.919,-4.703,-1.573,-0.135,Walking Upstairs,1665775774407
2,-0.310,6.858,2.579,0.735,0.461,0.392,Walking Upstairs,1665775774646
2,15.364,-6.405,9.132,5.473,0.905,-0.809,Walking Upstairs,1665775774887
2,9.578,-8.793,-7.179,-3.518,-1.482,3.159,Walking Upstairs,1665775775124
2,1.425,9.030,9.843,-1.078,0.082,1.691,Walking Upstairs,1665775775362
2,27.172,-4.824,8.196,4.209,1.736,-3.447,Walking Upstairs,1665775775599
2,0.709,-11.834,-5.299,-1.288,-0.283,3.031,Walking Upstairs,1665775775838
2,5.310,2.626,5.027,-1.988,0.765,0.179,Walking Upstairs,1665775776076
2,12.507,4.333,1.104,-0.954,0.226,0.728,Walking Upstairs,1665775776314
2,5.746,-6.424,-4.408,2.311,0.786,-3.145,Walking Upstairs,1665775776553
2,21.450,-17.927,1.267,-5.644,-2.355,3.645,Walking Upstairs,1665775776791
2,10.577,-2.451,2.184,-1.518,0.629,2.023,Walking Upstairs,1665775777030
2,15.515,0.595,5.980,-2.577,2.141,1.794,Walking Upstairs,1665775777268
2,18.703,-15.669,-2.320,4.814,0.583,-5.317,Walking Upstairs,1665775777507
2,-3.907,-7.717,0.053,0.208,-0.821,1.507,Walking Upstairs,1665775777744
2,33.095,-22.523,10.825,-4.747,-0.080,5.122,Walking Upstairs,1665775777985
2,-1.438,9.135,2.900,-0.742,1.653,-1.429,Walking Upstairs,1665775778222
